Google_Api_Query,Google_Maps,Item_Availability,Item_Discount,Item_Price,Item_Quantity,Store_Latitude,Store_Longitude,Store_Name,Store_Zip
1251+Centerville+Rd+Wilmington+DE+19808,https://maps.google.com/maps?q=1251+Centerville+Rd+Wilmington+DE+19808,In Stock,15% off,$16.88 ,14,39.7337396,-75.6184446,Walmart #5436,19808
117+Wilton+Blvd+New+Castle+DE+19720,https://maps.google.com/maps?q=117+Wilton+Blvd+New+Castle+DE+19720,In Stock,15% off,$16.88 ,5,39.6536612,-75.6220817,Walmart #2555,19720
516+School+House+Rd+Kennett+Square+PA+19348,https://maps.google.com/maps?q=516+School+House+Rd+Kennett+Square+PA+19348,In Stock,15% off,$16.88 ,5,39.8609973,-75.6900788,Walmart Supercenter #3541,19348
709+S+Broadway+Pennsville+NJ+08070,https://maps.google.com/maps?q=709+S+Broadway+Pennsville+NJ+08070,In Stock,No Discount,$19.87 ,7,39.612247,-75.5045581,Walmart #2041,8070
605+Conchester+Hwy+Boothwyn+PA+19061,https://maps.google.com/maps?q=605+Conchester+Hwy+Boothwyn+PA+19061,In Stock,No Discount,$19.87 ,6,39.8519398,-75.4492537,Walmart #3252,19061
1000+E+Pulaski+Hwy+Elkton+MD+21921,https://maps.google.com/maps?q=1000+E+Pulaski+Hwy+Elkton+MD+21921,In Stock,No Discount,$19.87 ,7,39.6032546,-75.7929228,Walmart Supercenter #1860,21921
50+N+Macdade+Blvd+Glenolden+PA+19036,https://maps.google.com/maps?q=50+N+Macdade+Blvd+Glenolden+PA+19036,In Stock,15% off,$16.88 ,8,39.9072246,-75.2918353,Walmart #5495,19036
1570+Chester+Pike+Eddystone+PA+19022,https://maps.google.com/maps?q=1570+Chester+Pike+Eddystone+PA+19022,Limited Stock,15% off,$16.88 ,0,39.863505,-75.3406713,Walmart #2830,19022
270+Indian+Run+St+Exton+PA+19341,https://maps.google.com/maps?q=270+Indian+Run+St+Exton+PA+19341,In Stock,15% off,$16.88 ,4,40.0224816,-75.6333562,Walmart #2167,19341
800+Commons+Dr+Oxford+PA+19363,https://maps.google.com/maps?q=800+Commons+Dr+Oxford+PA+19363,In Stock,15% off,$16.88 ,12,39.7969276,-75.979161,Walmart Supercenter #5795,19363
75+North+East+Plz+North+East+MD+21901,https://maps.google.com/maps?q=75+North+East+Plz+North+East+MD+21901,In Stock,15% off,$16.88 ,12,39.6098761,-75.9514603,Walmart Supercenter #5450,21901
820+Cooper+St+Woodbury+NJ+08096,https://maps.google.com/maps?q=820+Cooper+St+Woodbury+NJ+08096,In Stock,15% off,$16.88 ,12,39.8321269,-75.1289981,Walmart Supercenter #5476,8096
705+Middletown+Warwick+Rd+Middletown+DE+19709,https://maps.google.com/maps?q=705+Middletown+Warwick+Rd+Middletown+DE+19709,In Stock,No Discount,$19.87 ,10,39.446249,-75.7380575,Walmart Supercenter #3802,19709
