,priceoff,quantity,Address,upc,zip_code,storeAddress,Store_Latitude,Store_Longitude
0,50% off,Limited Stock,"1020 Broad St Philadelphia, PA",190198000000,19146,1020+Broad+St+Philadelphia+PA+19146,39.9382644,-75.167341
1,50% off,Limited Stock,"1128 CHESTNUT ST Philadelphia, PA",190198000000,19107,1128+CHESTNUT+ST+Philadelphia+PA+19107,39.9499352,-75.1599648
2,50% off,Out of Stock,"800 Christiana Mall Newark, DE",190198000000,19702,800+Christiana+Mall+Newark+DE+19702,39.6782901,-75.650001
3,50% off,Out of Stock,"1050 Brandywine Pkwy Wilmington, DE",190198000000,19803,1050+Brandywine+Pkwy+Wilmington+DE+19803,39.8311059,-75.540419
4,50% off,Out of Stock,"600 Hatton Dr Glen Mills, PA",190198000000,19342,600+Hatton+Dr+Glen+Mills+PA+19342,39.8804646,-75.527488
5,50% off,In Stock,"1200 Baltimore Pike Springfield, PA",190198000000,19064,1200+Baltimore+Pike+Springfield+PA+19064,39.9152213,-75.3500623
6,50% off,In Stock,"857 Baltimore Pike Springfield, PA",190198000000,19064,857+Baltimore+Pike+Springfield+PA+19064,39.9150729,-75.3347068
7,50% off,In Stock,"201 Sunrise Blvd Exton, PA",190198000000,19341,201+Sunrise+Blvd+Exton+PA+19341,40.0391607,-75.6286283
8,50% off,In Stock,"455 Carnegie Blvd Malvern, PA",190198000000,19355,455+Carnegie+Blvd+Malvern+PA+19355,40.0487055,-75.520573
9,50% off,In Stock,"180 Eagleview Blvd Exton, PA",190198000000,19341,180+Eagleview+Blvd+Exton+PA+19341,40.0520386,-75.6660871
10,50% off,In Stock,"675 Woodbury Glassboro Rd Sewell, NJ",190198000000,8080,675+Woodbury+Glassboro+Rd+Sewell+NJ+08080,39.7645878,-75.1313698
11,50% off,In Stock,"1 Mifflin St Philadelphia, PA",190198000000,19148,1+Mifflin+St+Philadelphia+PA+19148,39.9244293,-75.1459644
12,50% off,In Stock,"1900 Deptford Center Rd Deptford, NJ",190198000000,8096,1900+Deptford+Center+Rd+Deptford+NJ+08096,39.8301763,-75.0912278
13,50% off,In Stock,"4000 Monument Rd Philadelphia, PA",190198000000,19131,4000+Monument+Rd+Philadelphia+PA+19131,40.007232,-75.2128033
14,50% off,In Stock,"160 W Dekalb Pike King of Prussia, PA",190198000000,19406,160+W+Dekalb+Pike+King+of+Prussia+PA+19406,40.0954635,-75.3661764
15,50% off,In Stock,"200 Mill Road Phoenixville, PA",190198000000,19460,200+Mill+Road+Phoenixville+PA+19460,40.1308593,-75.4539543
16,25% off,In Stock,"704 W Lancaster Ave Wayne, PA",190198000000,19087,704+W+Lancaster+Ave+Wayne+PA+19087,40.0454165,-75.4087969
17,25% off,In Stock,"1900 CHESTNUT ST Philadelphia, PA",190198000000,19103,1900+CHESTNUT+ST+Philadelphia+PA+19103,39.9516748,-75.172254
18,25% off,In Stock,"2001 Pennsylvania Ave Philadelphia, PA",190198000000,19130,2001+Pennsylvania+Ave+Philadelphia+PA+19130,39.9616047,-75.1726872
19,25% off,In Stock,"456 N 5th St Philadelphia, PA",190198000000,19123,456+N+5th+St+Philadelphia+PA+19123,39.9606101,-75.1476062
20,50% off,Limited Stock,"4001 Black Horse Pike Turnersville, NJ",190198000000,8012,4001+Black+Horse+Pike+Turnersville+NJ+08012,39.7327433,-75.0397582
21,50% off,Limited Stock,"403 Constant Friendship Blvd Abingdon, MD",190198000000,21009,403+Constant+Friendship+Blvd+Abingdon+MD+21009,39.4597357,-76.3165092
22,50% off,In Stock,"148 John Hunn Brown Rd Dover, DE",190198000000,19901,148+John+Hunn+Brown+Rd+Dover+DE+19901,39.1599477,-75.5107459
23,50% off,In Stock,"2100 N 2nd St Millville, NJ",190198000000,8332,2100+N+2nd+St+Millville+NJ+08332,39.4201084,-75.0404884
24,50% off,In Stock,"28539 Marlboro Ave Easton, MD",190198000000,21601,28539+Marlboro+Ave+Easton+MD+21601,38.7818476,-76.0870499
25,50% off,In Stock,"487 Cross Keys Rd Sicklerville, NJ",190198000000,8081,487+Cross+Keys+Rd+Sicklerville+NJ+08081,39.7473118,-74.9948457
26,50% off,In Stock,"580 Marketplace Dr Bel Air, MD",190198000000,21014,580+Marketplace+Dr+Bel+Air+MD+21014,39.5257475,-76.3508851
27,50% off,In Stock,"380 Consumer Sq Mays Landing, NJ",190198000000,8330,380+Consumer+Sq+Mays+Landing+NJ+08330,39.4513134,-74.6338215
28,50% off,In Stock,"1330 Martin Blvd Middle River, MD",190198000000,21220,1330+Martin+Blvd+Middle+River+MD+21220,39.3350921,-76.448376
29,50% off,In Stock,"5230 Campbell Blvd Nottingham, MD",190198000000,21236,5230+Campbell+Blvd+Nottingham+MD+21236,39.3711591,-76.4514074
30,50% off,In Stock,"1139 White Horse Rd Voorhees, NJ",190198000000,8043,1139+White+Horse+Rd+Voorhees+NJ+08043,39.8503623,-74.9839159
31,25% off,In Stock,"1025 Middleton Rd Aberdeen, MD",190198000000,21001,1025+Middleton+Rd+Aberdeen+MD+21001,39.5206164,-76.178555
